Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
QUASE COLISÃO;3034;SBES;23/07/2019;13:00;Subida;outros
COLISÃO;5959;SBBV;23/07/2019;21:30;Pouso;Pouso de precaução
AVISTAMENTO;;SBSP;23/07/2019;09:41;Revisão de pista;Nenhum
QUASE COLISÃO;1448;SBYS;23/07/2019;14:35;Aproximação;Desestabilização na aproximação
COLISÃO;;SBSV;23/07/2019;07:00;Revisão de pista;Não reportada
AVISTAMENTO;PRGGW;SBMO;23/07/2019;05:40;Pouso;Nenhum
AVISTAMENTO;PRJNM;SBNV;22/07/2019;11:32;Pouso;Nenhum
AVISTAMENTO;;SBRF;22/07/2019;09:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;22/07/2019;11:00;Revisão de pista;Nenhum
AVISTAMENTO;PRSEO;SBME;22/07/2019;14:17;Pouso;Não reportada
AVISTAMENTO;PTMHC;SNMZ;22/07/2019;10:00;Táxi;Nenhum
AVISTAMENTO;;SBJC;22/07/2019;09:10;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;22/07/2019;21:09;Revisão de pista;Nenhum
COLISÃO;PRGUE;SBJV;22/07/2019;13:15;Decolagem;Nenhum
AVISTAMENTO;2317;SBNT;21/07/2019;11:00;Aproximação;Nenhum
AVISTAMENTO;;SBRF;21/07/2019;09:00;Revisão de pista;Nenhum
COLISÃO;PRAYY;SBSG;21/07/2019;23:10;Pouso;Nenhum
COLISÃO;PRMBY;SBGR;20/07/2019;17:43;Decolagem;Pouso de precaução
COLISÃO;PTNEV;SDAM;20/07/2019;16:30;Decolagem;Pouso de precaução
QUASE COLISÃO;FAB5960;SBBV;19/07/2019;12:40;Aproximação;outros
AVISTAMENTO;;SBMT;19/07/2019;12:43;Revisão de pista;Nenhum
QUASE COLISÃO;5901;SBNT;19/07/2019;13:20;Subida;outros
QUASE COLISÃO;FAB4871;SBCO;18/07/2019;11:30;Decolagem;Nenhum
AVISTAMENTO;FAB4971;SBCO;18/07/2019;12:20;Táxi;Nenhum
AVISTAMENTO;PRWNF;SBPA;18/07/2019;18:28;Pouso;Nenhum
QUASE COLISÃO;5905;SBNT;18/07/2019;13:20;Decolagem;outros
AVISTAMENTO;PRBUS;SBBH;17/07/2019;13:32;Aproximação;Nenhum
AVISTAMENTO;;SBPA;17/07/2019;08:50;Revisão de pista;Nenhum
AVISTAMENTO;PRHIG;SBBH;17/07/2019;14:59;Decolagem;Nenhum
AVISTAMENTO;;SBBV;17/07/2019;11:20;Decolagem;Nenhum
AVISTAMENTO;;SBSP;17/07/2019;09:56;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;17/07/2019;16:25;Revisão de pista;Nenhum
QUASE COLISÃO;5919;SBNT;17/07/2019;13:30;Decolagem;outros
AVISTAMENTO;7103;SBES;16/07/2019;06:00;Decolagem;Nenhum
AVISTAMENTO;;SBCO;16/07/2019;15:39;Táxi;Nenhum
AVISTAMENTO;PRSHM;SBBH;16/07/2019;13:45;Aproximação;Nenhum
AVISTAMENTO;;SBMT;16/07/2019;12:28;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;16/07/2019;09:29;Revisão de pista;Nenhum
AVISTAMENTO;PRGXM;SBSP;16/07/2019;12:00;Pouso;Nenhum
AVISTAMENTO;;SBSP;16/07/2019;17:36;Revisão de pista;Nenhum
AVISTAMENTO;;SBBV;16/07/2019;13:00;Aproximação;Nenhum
