Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;;SBRF;17/09/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;17/09/2019;09:37;Revisão de pista;Nenhum
AVISTAMENTO;PPNMM;SBRJ;17/09/2019;11:12;Aproximação;Nenhum
AVISTAMENTO;PRGGD;SBBE;17/09/2019;05:55;Decolagem;Nenhum
AVISTAMENTO;;SBKP;17/09/2019;03:55;Revisão de pista;Nenhum
AVISTAMENTO;7201;SBES;17/09/2019;08:30;Decolagem;Nenhum
AVISTAMENTO;PRCHQ;SBME;16/09/2019;07:54;Aproximação;Não reportada
AVISTAMENTO;PPOLA;SBBE;16/09/2019;10:05;Decolagem;Nenhum
COLISÃO;GLO1565;SBSP;16/09/2019;10:20;Pouso;Pouso de precaução
COLISÃO;PRAQI;SBPA;16/09/2019;11:17;Táxi;Não reportada
AVISTAMENTO;FAB4839;SBAN;16/09/2019;13:30;Aproximação;Nenhum
AVISTAMENTO;PPBIO;SBBH;16/09/2019;17:35;Descida;Nenhum
AVISTAMENTO;;SBSP;16/09/2019;07:26;Revisão de pista;Nenhum
AVISTAMENTO;PTNXG;SBIL;16/09/2019;09:30;Táxi;Nenhum
AVISTAMENTO;;SBJU;16/09/2019;09:00;Revisão de pista;Nenhum
AVISTAMENTO;2318;SNXX;16/09/2019;09:00;Aproximação;Nenhum
QUASE COLISÃO;FAB2318;SNXX;16/09/2019;09:05;Aproximação;Desestabilização na aproximação
AVISTAMENTO;PTKIW;SBBH;15/09/2019;13:54;Pouso;Nenhum
AVISTAMENTO;AZU2624;SBRP;15/09/2019;15:17;Táxi;Nenhum
AVISTAMENTO;;SBSP;15/09/2019;10:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;15/09/2019;16:20;Revisão de pista;Nenhum
AVISTAMENTO;PRTKJ;SBKP;15/09/2019;16:18;Revisão de pista;Nenhum
